SkillSpector Linear Data.

Create Date 2/15/2019
Time 18:16:35

Joelho - X pos	Joelho - Y pos	Quadril - X pos	Quadril - Y pos	C7 - X pos	C7 - Y pos	Barra - X pos	Barra - Y pos	
-2.015	16.045	32.098	24.206	75.113	47.771	13.057	-16.180	
-2.023	16.044	32.081	24.268	75.039	47.921	13.063	-16.179	
-2.031	16.044	32.063	24.334	74.966	48.072	13.067	-16.180	
-2.038	16.043	32.046	24.405	74.892	48.224	13.071	-16.181	
-2.046	16.042	32.029	24.481	74.819	48.379	13.074	-16.182	
-2.054	16.042	32.012	24.560	74.746	48.536	13.076	-16.184	
-2.061	16.041	31.995	24.643	74.671	48.696	13.077	-16.186	
-2.069	16.041	31.977	24.729	74.596	48.859	13.079	-16.187	
-2.076	16.041	31.959	24.818	74.519	49.026	13.081	-16.189	
-2.083	16.041	31.941	24.908	74.439	49.196	13.083	-16.190	
-2.090	16.041	31.922	24.999	74.356	49.371	13.086	-16.191	
-2.097	16.042	31.903	25.091	74.269	49.551	13.090	-16.192	
-2.104	16.043	31.883	25.182	74.178	49.736	13.095	-16.193	
-2.111	16.045	31.862	25.272	74.082	49.927	13.102	-16.193	
-2.117	16.046	31.841	25.362	73.980	50.125	13.110	-16.193	
-2.123	16.049	31.819	25.449	73.872	50.330	13.120	-16.194	
-2.129	16.052	31.796	25.535	73.758	50.543	13.132	-16.193	
-2.135	16.056	31.772	25.618	73.637	50.764	13.145	-16.193	
-2.141	16.060	31.746	25.699	73.510	50.993	13.160	-16.193	
-2.146	16.064	31.720	25.778	73.376	51.229	13.177	-16.193	
-2.151	16.070	31.692	25.854	73.236	51.474	13.194	-16.192	
-2.156	16.076	31.664	25.929	73.090	51.725	13.213	-16.192	
-2.161	16.082	31.634	26.001	72.938	51.983	13.232	-16.191	
-2.165	16.088	31.602	26.072	72.782	52.246	13.252	-16.191	
-2.169	16.095	31.570	26.141	72.622	52.513	13.271	-16.190	
-2.173	16.103	31.536	26.210	72.458	52.784	13.291	-16.190	
-2.177	16.110	31.501	26.277	72.292	53.056	13.310	-16.189	
-2.180	16.117	31.465	26.345	72.125	53.330	13.328	-16.189	
-2.184	16.125	31.428	26.412	71.957	53.604	13.346	-16.189	
-2.187	16.132	31.390	26.480	71.788	53.876	13.363	-16.189	
-2.190	16.139	31.352	26.548	71.621	54.147	13.379	-16.188	
-2.192	16.146	31.313	26.618	71.454	54.415	13.394	-16.188	
-2.195	16.153	31.274	26.690	71.289	54.680	13.408	-16.189	
-2.197	16.159	31.235	26.764	71.125	54.941	13.422	-16.189	
-2.200	16.165	31.195	26.840	70.963	55.199	13.435	-16.189	
-2.202	16.172	31.156	26.920	70.803	55.454	13.448	-16.190	
-2.204	16.177	31.116	27.003	70.643	55.705	13.460	-16.191	
-2.206	16.183	31.076	27.090	70.484	55.952	13.473	-16.192	
-2.208	16.188	31.036	27.180	70.326	56.198	13.486	-16.193	
-2.210	16.193	30.996	27.273	70.168	56.440	13.499	-16.194	
-2.212	16.198	30.956	27.369	70.010	56.681	13.512	-16.195	
-2.215	16.202	30.916	27.467	69.851	56.921	13.526	-16.197	
-2.217	16.206	30.876	27.567	69.691	57.160	13.541	-16.198	
-2.219	16.210	30.836	27.669	69.531	57.400	13.556	-16.198	
-2.222	16.213	30.796	27.772	69.369	57.639	13.571	-16.198	
-2.224	16.215	30.755	27.877	69.206	57.880	13.587	-16.198	
-2.227	16.217	30.714	27.983	69.042	58.122	13.603	-16.197	
-2.230	16.219	30.672	28.091	68.876	58.367	13.619	-16.195	
